# https://www.ushio-optosemi.com/en/products/led/std/standard/mold_type.html
# FWHM equivalent to R~10

Peak Wavelength	-01	-02	-03	-04	-05	-06	-09
850nm	Please ask to sales window with the inquiry form	Please ask to sales window with the inquiry form	Please ask to sales window with the inquiry form	L850F-04L6CU	Please ask to sales window with the inquiry form	Please ask to sales window with the inquiry form	Please ask to sales window with the inquiry form
850nm	Please ask to sales window with the inquiry form	Please ask to sales window with the inquiry form	Please ask to sales window with the inquiry form	L850D-04-50L6CU	Please ask to sales window with the inquiry form	L850D-06-50L6CU	Please ask to sales window with the inquiry form
870nm	Please ask to sales window with the inquiry form	Please ask to sales window with the inquiry form	Please ask to sales window with the inquiry form	L870-04-35	Please ask to sales window with the inquiry form	Please ask to sales window with the inquiry form	Please ask to sales window with the inquiry form
870nm	L870-01UP	L870-02UP	L870-03UP	L870-04UP	L870-05UP	L870-06UP	L870-09UP
870nm	L870F-01U	Please ask to sales window with the inquiry form	Please ask to sales window with the inquiry form	L870F-04U	L870F-05U	L870F-06U	L870F-09U
870nm	Please ask to sales window with the inquiry form	L870F-02-45	Please ask to sales window with the inquiry form	L870F-04-45	L870F-05-45	L870F-06-45	Please ask to sales window with the inquiry form
870nm	Please ask to sales window with the inquiry form	Please ask to sales window with the inquiry form	Please ask to sales window with the inquiry form	L870F-04-50	Please ask to sales window with the inquiry form	L870F-06-50	Please ask to sales window with the inquiry form
870nm	Please ask to sales window with the inquiry form	Please ask to sales window with the inquiry form	L870F-03-55	L870F-04-55	Please ask to sales window with the inquiry form	Please ask to sales window with the inquiry form	Please ask to sales window with the inquiry form
880nm	L880-01AU	L880-02AU	L880-03AU	L880-04AU	L880-05AU	L880-06AU	L880-09AU
880nm	Please ask to sales window with the inquiry form	Please ask to sales window with the inquiry form	Please ask to sales window with the inquiry form	Please ask to sales window with the inquiry form	L880-05-55-2D	Please ask to sales window with the inquiry form	Please ask to sales window with the inquiry form
890nm	L890-01AU	L890-02AU	L890-03AU	L890-04AU	L890-05AU	L890-06AU	L890-09AU
910nm	L910-01	L910-02	L910-03	L910-04	L910-05	L910-06	L910-09
910nm	L910D-01	L910D-02	L910D-03	L910D-04	Please ask to sales window with the inquiry form	L910D-06	Please ask to sales window with the inquiry form
940nm	L940-01AU	L940-02AU	L940-03AU	L940-04AU	L940-05AU	L940-06AU	L940-09AU
940nm	Please ask to sales window with the inquiry form	L940-02L6CU	Please ask to sales window with the inquiry form	Please ask to sales window with the inquiry form	Please ask to sales window with the inquiry form	Please ask to sales window with the inquiry form	Please ask to sales window with the inquiry form
940nm	L940D-01	L940D-02	L940D-03	L940D-04	L940D-05	L940D-06	Please ask to sales window with the inquiry form
970nm	L970-01	L970-02	L970-03	L970-04	L970-05	L970-06	L970-09
970nm	Please ask to sales window with the inquiry form	L970D-02	L970D-03	L970D-04	L970D-05	L970D-06	Please ask to sales window with the inquiry form
980nm	L980D-01	L980D-02	L980D-03	L980D-04	L980D-05	L980D-06	Please ask to sales window with the inquiry form
1050nm	L1050G-01	L1050G-02	L1050G-03	L1050G-04	L1050G-05	L1050G-06	Please ask to sales window with the inquiry form
1050nm	L1050-01	L1050-02	L1050-03	L1050-04	L1050-05	L1050-06	L1050-09
1050nm	L1050S-01	L1050S-02	L1050S-03	L1050S-04	L1050S-05	L1050S-06	L1050S-09
1070nm	L1070-01	L1070-02	L1070-03	L1070-04	L1070-05	L1070-06	L1070-09
1200nm	L1200-01	L1200-02	L1200-03	L1200-04	L1200-05	L1200-06	L1200-09
1200nm	L1200S-01	L1200S-02	L1200S-03	L1200S-04	L1200S-05	L1200S-06	L1200S-09
1300nm	L1300-01	L1300-02	L1300-03	L1300-04	L1300-05	L1300-06	L1300-09
1300nm	L1300S-01	L1300S-02	L1300S-03	L1300S-04	L1300S-05	L1300S-06	L1300S-09
1450nm	L1450-01	L1450-02	L1450-03	L1450-04	L1450-05	L1450-06	L1450-09
1450nm	L1450S-01	L1450S-02	L1450S-03	L1450S-04	L1450S-05	L1450S-06	L1450S-09
1550nm	L1550-01	L1550-02	L1550-03	L1550-04	L1550-05	L1550-06	L1550-09
1550nm	L1550S-01	L1550S-02	L1550S-03	L1550S-04	L1550S-05	L1550S-06	L1550S-09
1650nm	L1650-01	L1650-02	L1650-03	L1650-04	L1650-05	L1650-06	L1650-09
1650nm	L1650S-01	L1650S-02	L1650S-03	L1650S-04	L1650S-05	L1650S-06	L1650S-09
