"ISO","ID","HORI","BTOP","BBOT","SAMPLENO","PHH2O","PHKCL","PHCACL2","CACO3","CASO4","ORGC","ORGN","C/N","CA","MG","NA","K","SUM","EXACID","EXAL","CECSOIL","CECCLAY","CECORG","ECEC","BS","ALS","ESP","EC","CHEMREM","EDITDATE","VERIFIED"
"BR",3,1,0,9,"850172",5.09999990463257,4.19999980926514,,,,1.74000000953674,0.129999995231628,,0.600000023841858,0.400000005960464,0.200000002980232,0.100000001490116,1.29999995231628,0.800000011920929,0.5,4.09999990463257,8,6.09999990463257,2.09999990463257,32,12,,0.0399999991059303,"specific surface = 69 m2/g fine earth","02.03.1995",""
"BR",3,2,9,36,"850173",4.90000009536743,4.19999980926514,,,,1.17999994754791,0.100000001490116,,0.200000002980232,0,0.200000002980232,0,0.400000005960464,0.699999988079071,0.5,3.5,7,4.09999990463257,1.10000002384186,11,14,,0.0199999995529652,"specific surface = 69 m2/g fine earth","02.03.1995",""
"BR",3,3,36,72,"850174",4.80000019073486,4.30000019073486,,,,0.740000009536743,0.0700000002980232,,0,0,0.100000001490116,0,0.100000001490116,0.5,0.699999988079071,1.79999995231628,3,2.59999990463257,0.600000023841858,6,39,,0.0199999995529652,"specific surface = 70 m2/g fine earth","02.03.1995",""
"BR",3,4,72,102,"850175",5,4.5,,,,0.519999980926514,0.0500000007450581,,0.100000001490116,0,0,0,0.100000001490116,0.200000002980232,0.100000001490116,1.79999995231628,3,1.79999995231628,0.300000011920929,6,6,,0.00999999977648258,"specific surface = 74 m2/g fine earth","02.03.1995",""
"BR",3,5,102,147,"850176",5.69999980926514,5,,,,0.319999992847443,,,0,0,0.400000005960464,0,0.400000005960464,0.100000001490116,0,1.79999995231628,3,1.10000002384186,0.5,22,0,,0.00999999977648258,"specific surface = 69 m2/g fine earth","02.03.1995",""
"BR",3,6,147,175,"850177",5.69999980926514,5.19999980926514,,,,0.25,,,0,0,0.200000002980232,0,0.200000002980232,0,0,1.10000002384186,2,0.899999976158142,0.200000002980232,18,0,,0.00999999977648258,"specific surface = 68 m2/g fine earth","02.03.1995",""
"BR",4,1,0,18,"850178",6.40000009536743,5.40000009536743,,0.5,,1.98000001907349,0.170000001788139,,6.40000009536743,1.39999997615814,0,0.600000023841858,8.39999961853027,0.100000001490116,0,12,30,6.90000009536743,8.5,70,0,,0.0799999982118607,"specific surface = 74 m2/g fine earth","02.03.1995",""
"BR",4,2,18,34,"850179",6.59999990463257,5.5,,0,,1.13999998569489,0.100000001490116,,4.90000009536743,0.699999988079071,0,0.100000001490116,5.69999980926514,0.100000001490116,0,8.10000038146973,13,4,5.80000019073486,70,0,,0.0399999991059303,"specific surface = 73 m2/g fine earth","02.03.1995",""
"BR",4,3,34,56,"850180",6.90000009536743,5.69999980926514,,0.200000002980232,,0.889999985694885,0.0700000002980232,,5.09999990463257,0.699999988079071,0.100000001490116,0,5.90000009536743,0,0,7,11,3.09999990463257,5.90000009536743,84,0,,0.0299999993294477,"specific surface = 74 m2/g fine earth","02.03.1995",""
"BR",4,4,56,90,"850181",7,5.90000009536743,,0.200000002980232,,0.75,0.0500000007450581,,4.69999980926514,0.600000023841858,0.100000001490116,0,5.40000009536743,0,0,6.09999990463257,10,2.59999990463257,5.40000009536743,89,0,,0.0299999993294477,"specific surface = 73 m2/g fine earth","02.03.1995",""
"BR",4,5,90,150,"850182",7,6,,0.200000002980232,,0.519999980926514,0.0299999993294477,,3.09999990463257,1.10000002384186,0,0,4.19999980926514,0,0,4.5,8,1.79999995231628,4.19999980926514,93,0,,0.0299999993294477,"specific surface = 70 m2/g fine earth","02.03.1995",""
"BR",4,6,150,200,"850183",7,6.09999990463257,,0.5,,0.340000003576279,,,2.40000009536743,0.5,0.100000001490116,0,3,0,0,3.5,6,1.20000004768372,3,86,0,,0.0399999991059303,"specific surface = 68 m2/g fine earth","02.03.1995",""
"BR",5,1,0,26,"850184",4.69999980926514,4.19999980926514,,,,2.47000002861023,0.180000007152557,,0.200000002980232,0.100000001490116,0,0.100000001490116,0.400000005960464,0.800000011920929,0.699999988079071,7.69999980926514,13,8.60000038146973,1.20000004768372,5,9,,0.0900000035762787,"specific surface = 66 m2/g fine earth","02.03.1995",""
"BR",5,2,26,50,"850185",4.90000009536743,4.80000019073486,,,,1.14999997615814,0.0900000035762787,,0,0,0.100000001490116,0,0.100000001490116,0.100000001490116,0,3.59999990463257,6,4,0.200000002980232,3,0,,0.0199999995529652,"specific surface = 63 m2/g fine earth","02.03.1995",""
"BR",5,3,50,75,"850186",5.40000009536743,5.09999990463257,,,,0.879999995231628,0.0500000007450581,,0.200000002980232,0,0.100000001490116,0,0.300000011920929,0,0,1.39999997615814,2,3.09999990463257,0.300000011920929,21,0,,0.00999999977648258,"specific surface = 63 m2/g fine earth","02.03.1995",""
"BR",5,4,75,215,"850187",5.59999990463257,5.5,,,,0.800000011920929,0.0399999991059303,,0,0,0.100000001490116,0,0.100000001490116,0,0,1.60000002384186,3,2.79999995231628,0.100000001490116,6,0,,0.00999999977648258,"specific surface = 60 m2/g fine earth","02.03.1995",""
"BR",5,5,215,250,"850188",5.90000009536743,5.80000019073486,,,,0.52999997138977,0.0399999991059303,,0,0,0.100000001490116,0,0.100000001490116,0,0,0.699999988079071,1,1.89999997615814,0.100000001490116,14,0,,0.00999999977648258,"specific surface = 57 m2/g fine earth","02.03.1995",""
