"ISO","ID","HORI","TOP","BOT","SAMPLENO","SIO2","AL2O3","FE2O3","CAO","MGO","K2O","NA2O","TIO2","MNO2","P2O5","IGN","TOTAL","RATIOSIAL","RATIOSIFE","RATIOSIR","RATIOALFE","SOELREM","EDITDATE","VERIFIED"
"NO",2,3,31,37,"680123",52,22.1,6,0.3,1.33,4.28,,4.34,0.02,0.64,9.4,100.4,4,23,3.4,9.4,"","28.01.1997","OSP"
"NO",2,4,37,48,"680122",45.7,21.3,9.3,0.42,2.34,3.35,,6.67,0.03,0.39,10.2,99.7,3.6,13,2.8,3.6,"","28.01.1997","OSP"
"NO",2,5,48,56,"680121",46.6,20.4,10.4,0.79,3.49,3.69,,2.75,0.05,0.36,10.5,99.2,3.9,8.8,2.7,2.3,"","28.01.1997","OSP"
"NO",2,6,56,58,"680120",45.8,19.7,14,0.81,3.75,4.29,,1.71,0.08,0.53,7.4,98,4,8.7,2.7,2.2,"","28.01.1997","OSP"
"NO",2,7,58,70,"",,,,,,,,,,,,,,,,,"Not sampled","28.01.1997","OSP"
"AU",31,3,40,50,"780104",66,20,1.9,0.04,0.2,0.16,,2.6,0,0.05,7.2,98,5.6,93.7,5.3,16.7,"","01.05.2003","OSP"
"AU",31,4,50,55,"780105",64.4,22.8,2.3,0.03,0.19,0.14,,2.52,0,0.05,8,100.4,4.8,73.1,4.5,15.2,"","01.05.2003","OSP"
"AU",31,5,55,70,"780106",55.1,27,6.5,0.04,0.23,0.16,,1.87,0,0.07,10.1,101.1,3.5,22.6,3,6.5,"","02.05.2003","OSP"
"AU",31,6,70,90,"780107",46.6,29.6,7.5,0.04,0.26,0.16,,1.38,0,0.03,11.6,97.2,2.7,16.5,2.3,6.2,"","02.05.2003","OSP"
"AU",31,6,90,110,"780108",47.2,32,7.3,0.01,0.23,0.16,,1.28,0,0.03,12,100.2,2.5,17.2,2.2,6.9,"","02.05.2003","OSP"
"AU",31,7,110,125,"780109",46.2,33,7.3,0.02,0.29,0.17,,1.16,0,0.04,12,100.2,2.4,16.8,2.1,7,"","02.05.2003","OSP"
"AU",31,8,125,150,"780110",46.3,33.7,6.8,0.02,0.35,0.25,,1.03,0,0.02,12.1,100.6,2.3,18.1,2.1,7.8,"","02.05.2003","OSP"
"AU",31,9,150,180,"780111",46.2,33,5.9,0.03,0.32,0.35,,1.03,0,0.03,12.2,99.1,2.4,20.8,2.1,8.8,"","02.05.2003","OSP"
"AU",33,1,0,15,"780112",26.5,29.7,21.2,0.03,0.51,0.17,,1.73,0.13,2.1,17.9,100,1.5,3.3,1,2.2,"","02.05.2003","OSP"
"AU",33,2,15,25,"780113",27.2,31.4,21.1,0.02,0.5,0.13,,1.73,0.19,2.06,18.6,102.9,1.5,3.4,1,2.3,"","02.05.2003","OSP"
"AU",33,3,25,40,"780114",26.3,32,21.1,0.02,0.51,0.14,,1.73,0.17,1.8,17.4,101.2,1.4,3.3,1,2.4,"","02.05.2003","OSP"
"AU",33,4,40,53,"780115",25.2,31.9,20.2,0.02,0.52,0.17,,1.69,0.12,1.8,17.6,99.2,1.3,3.3,1,2.5,"","02.05.2003","OSP"
"IT",14,3,15,40,"800102",42.6,30.1,10.2,0,0.7,1.2,0,1.1,0.1,0.5,13.3,99.8,2.4,11.1,2,4.6,"","14.06.1996","OSP"
