"ISO","ID","HORI","TOP","BOT","SAMPLENO","SIO2","AL2O3","FE2O3","CAO","MGO","K2O","NA2O","TIO2","MNO2","P2O5","IGN","TOTAL","RATIOSIAL","RATIOSIFE","RATIOSIR","RATIOALFE","SOELREM","EDITDATE","VERIFIED","CODETYPE"
"CI",7,4,40,60,"850384",64.3,17.7,8.3,0,0.06,0,,0.8,0.01,0.01,8.4,99.6,6.2,20.6,4.7,3.3,"","16.06.1994","","CI0074"
"CI",7,5,60,85,"850385",61.9,20.6,8,0,0.03,0,,0.83,0.01,0.01,9.4,100.8,5.1,20.6,4.1,4,"","16.06.1994","","CI0075"
"CI",7,6,90,110,"850386",58.6,22.4,8.2,0,0.05,0,,0.9,0.01,0.01,9.8,100,4.4,19,3.6,4.3,"","16.06.1994","","CI0076"
"CI",7,7,120,150,"850387",55.4,24.4,8.4,0,0.03,0,,0.92,0.01,0.01,10.3,99.5,3.9,17.6,3.2,4.6,"","16.06.1994","","CI0077"
"JM",1,1,0,6,"810247",61.8,11.7,7.2,0.41,0.42,0.08,,1.04,0.36,0.5,16.8,100.3,9,22.9,6.4,2.5,"","14.12.1994","","JM0011"
"JM",1,2,6,23,"810248",62.5,12.1,7.5,0.38,0.39,0.09,,1.07,0.46,0.48,14.4,99.4,8.8,22.2,6.3,2.5,"","14.12.1994","","JM0012"
"JM",1,3,23,35,"810249",56.3,17.7,11.6,0.23,0.42,0.13,,1.26,0.08,0.59,10.9,99.2,5.4,12.9,3.8,2.4,"","14.12.1994","","JM0013"
"JM",1,4,35,55,"810250",55.8,18,12.1,0.19,0.44,0.13,,1.3,0.11,0.65,10.3,99,5.3,12.3,3.7,2.3,"","14.12.1994","","JM0014"
"JM",1,5,55,84,"810251",54.5,18.8,12.5,0.11,0.46,0.14,,1.28,0.06,0.65,10.2,98.7,4.9,11.6,3.5,2.4,"","14.12.1994","","JM0015"
"JM",1,6,84,109,"810252",54.9,19,12,0.09,0.52,0.15,,1.19,0.04,0.65,10,98.5,4.9,12.2,3.5,2.5,"","14.12.1994","","JM0016"
