"ISO","ID","HORI","TOP","BOT","SAMPLENO","CAS","MGS","NAS","KS","SUMCAT","CO3","HCO3","CL","SO4","NO3","SUMANI","EC5","ECE","PHS","SAR","SALTREM","EDITDATE","VERIFIED","TYPE"
"US",16,4,48,81,"841068",1.89999997615814,1.5,0.5,0.100000001490116,4,0,3.09999990463257,0.200000002980232,0.600000023841858,0,3.90000009536743,,0.389999985694885,7.80000019073486,0.379999995231628,"Data NSSL, Lincoln","19.04.2004","OSP",""
"US",16,5,81,104,"841069",1.79999995231628,2,0.699999988079071,0.100000001490116,4.59999990463257,0,2.90000009536743,0.200000002980232,0.699999988079071,0.400000005960464,4.19999980926514,,0.430000007152557,7.90000009536743,0.509999990463257,"Data NSSL, Lincoln","19.04.2004","OSP",""
"US",16,6,104,152,"841070",1.60000002384186,2,0.800000011920929,0.100000001490116,4.5,0,2.59999990463257,0.200000002980232,1,0.400000005960464,4.19999980926514,,0.449999988079071,7.90000009536743,0.600000023841858,"Data NSSL, Lincoln","19.04.2004","OSP",""
"US",26,1,0,8,"870953",,,,,,,,,,,,,,,,"","17.05.2004","OSP",""
"US",26,2,8,18,"870954",,,,,,,,,,,,,,,,"","17.05.2004","OSP",""
"US",26,3,18,30,"870955",,,,,,,,,,,,,,,,"","17.05.2004","OSP",""
"US",26,4,30,45,"870956",,,,,,,,,,,,,,,,"","17.05.2004","OSP",""
"US",26,5,45,63,"870957",9.5,5.90000009536743,33.9000015258789,0.5,49.7999992370605,0,2.79999995231628,35.4000015258789,8.10000038146973,0.300000011920929,46.5999984741211,,4.92999982833862,7.30000019073486,,"","17.05.2004","OSP",""
"US",26,6,63,75,"870958",17.3999996185303,9.10000038146973,37.2000007629395,0.400000005960464,64.0999984741211,0,1.39999997615814,44.2000007629395,12.5,0.5,58.5999984741211,,6.19000005722046,7.59999990463257,,"","17.05.2004","OSP",""
"US",26,7,75,105,"870959",5.59999990463257,2.5,5.90000009536743,0.300000011920929,14.3000001907349,0,2.09999990463257,9.69999980926514,1.39999997615814,0.100000001490116,13.3000001907349,,1.52999997138977,7.90000009536743,,"","17.05.2004","OSP",""
"US",26,8,105,138,"870960",1.70000004768372,0.899999976158142,1,0.300000011920929,3.90000009536743,0,2.40000009536743,0.5,0.600000023841858,0.100000001490116,3.59999990463257,,0.379999995231628,8.39999961853027,,"","17.05.2004","OSP",""
"US",26,9,138,163,"870961",0.800000011920929,0.800000011920929,3.09999990463257,0.100000001490116,4.80000019073486,0,2.90000009536743,0.300000011920929,1.20000004768372,0,4.40000009536743,,0.46000000834465,8.39999961853027,,"","17.05.2004","OSP",""
"US",22,1,0,12,"850959",11.3000001907349,0.300000011920929,0.300000011920929,0.200000002980232,12.1000003814697,0,9.30000019073486,0.5,1,0,10.8000001907349,,1.00999999046326,6.90000009536743,,"Data NSSL, Lincoln","19.05.2004","OSP",""
"US",22,2,12,30,"850960",8.30000019073486,0.200000002980232,0.200000002980232,0.100000001490116,8.80000019073486,0,6.30000019073486,0.400000005960464,0.899999976158142,0,7.59999990463257,,0.740000009536743,7.09999990463257,,"Data NSSL, Lincoln","19.05.2004","OSP",""
"US",22,3,30,50,"850961",7.09999990463257,0.200000002980232,0.300000011920929,0.100000001490116,7.69999980926514,0,4.80000019073486,0.300000011920929,0.5,0,5.59999990463257,,0.649999976158142,7.30000019073486,,"Data NSSL, Lincoln","19.05.2004","OSP",""
"US",22,4,50,80,"850962",6.5,0.200000002980232,0.300000011920929,0.100000001490116,7.09999990463257,0,4.40000009536743,0.400000005960464,0.600000023841858,0,5.40000009536743,,0.600000023841858,7.40000009536743,,"Data NSSL, Lincoln","19.05.2004","OSP",""
"US",22,5,80,110,"850963",,,,,,,,,,,,,0.239999994635582,,,"Data NSSL, Lincoln","19.05.2004","OSP",""
"US",22,6,110,150,"850964",,,,,,,,,,,,,0.200000002980232,,,"Data NSSL, Lincoln","19.05.2004","OSP",""
"US",22,7,150,220,"850965",,,,,,,,,,,,,0.189999997615814,,,"Data NSSL, Lincoln","19.05.2004","OSP",""
"US",22,8,220,265,"850966",,,,,,,,,,,,,0.209999993443489,,,"Data NSSL, Lincoln","19.05.2004","OSP",""
"US",23,1,0,14,"850948",11.3000001907349,0.400000005960464,0.300000011920929,0.300000011920929,12.3000001907349,0,10.3000001907349,1.10000002384186,1.89999997615814,0,13.3000001907349,,1.14999997615814,6.90000009536743,,"Data NSSL, Lincoln","19.05.2004","OSP",""
"US",23,2,14,38,"850949",7.80000019073486,0.200000002980232,0.300000011920929,0.100000001490116,8.39999961853027,0,5.5,0.400000005960464,0.600000023841858,0,6.5,,0.639999985694885,7.19999980926514,,"Data NSSL, Lincoln","19.05.2004","OSP",""
"US",23,3,38,60,"850950",6.69999980926514,0.200000002980232,0.300000011920929,0.100000001490116,7.30000019073486,0,5.40000009536743,0.300000011920929,0.600000023841858,0.200000002980232,6.5,,0.629999995231628,7.09999990463257,,"Data NSSL, Lincoln","19.05.2004","OSP",""
"US",23,4,60,86,"850951",6.40000009536743,0.100000001490116,0.400000005960464,0.100000001490116,7,0,5.40000009536743,0.200000002980232,0.5,0,6.09999990463257,,0.589999973773956,7.09999990463257,,"Data NSSL, Lincoln","19.05.2004","OSP",""
"US",23,5,86,108,"850952",5.90000009536743,0.100000001490116,0.5,0.100000001490116,6.59999990463257,0,4.59999990463257,0.300000011920929,0.5,0,5.40000009536743,,0.5799999833107,7.19999980926514,,"Data NSSL, Lincoln","19.05.2004","OSP",""
