"ISO","ID","HORI","TOP","BOT","SAMPLENO","HEAVY","LIGHT","QUARTZ","K_FELDSPAR","PLAGIOCLAS","REST","OPAQUE","SMINREM","EDITDATE","VERIFIED"
"ZM","2","3","20","40","770065","","","100","","","","73","","1994-03-08 00:00:00",""
"ZM","2","4","40","70","770066","","","99","1","","","50","","1994-03-08 00:00:00",""
"ZM","2","5","70","100","770067","1.5","98.5","100","","","","49","Many Fe-concretions in the opaque grains.","1994-03-08 00:00:00",""
"ZM","2","6","100","130","770068","","","100","","","","52","","1994-03-08 00:00:00",""
"ZM","2","7","130","155","770069","","","100","","","","46","","1994-03-08 00:00:00",""
"ZM","4","6","80","110","770082","17.6","82.4","100","","","","100","Some zircone- and 1 hypersthene- mineral(s).","1994-03-08 00:00:00",""
"ZM","5","5","72","106","770088","0.2","99.8","100","","","","33","","1994-03-08 00:00:00",""
"ZM","8","5","100","130","770106","0.2","99.8","100","","","","37","","1994-03-08 00:00:00",""
"ZM","9","4","110","-1","770111","0.1","99.9","100","","","","","Not enough material. In transparant minerals many tourmaline and zircone, also a few rutile minerals","1994-03-08 00:00:00",""
"NG","1","1","0","11","780001","","","100","","","","83","","1994-03-08 00:00:00",""
"NG","1","2","11","20","780002","","","98","1","1","","85","","1994-03-08 00:00:00",""
"NG","1","3","20","45","780003","","","100","","","","86","","1994-03-08 00:00:00",""
"NG","1","4","45","70","780004","","","99","1","","","85","","1994-03-08 00:00:00",""
"NG","1","5","70","90","780005","","","98","1","1","","86","","1994-03-08 00:00:00",""
"NG","1","6","90","110","780006","","","99","","1","","87","","1994-03-08 00:00:00",""
"NG","4","1","0","10","780021","0.5","99.5","83","12","5","","39","","1996-02-18 00:00:00","OSP"
"NG","4","3","28","45","780023","1.1","98.9","81","13","6","","36","","1996-02-18 00:00:00","OSP"
"NG","4","5","60","75","780025","1.1","98.9","82","13","5","","14","","1996-02-18 00:00:00","OSP"
"NG","4","7","95","120","780027","1.8","98.2","77","16","7","","2","","1996-02-18 00:00:00","OSP"
"NG","8","1","0","20","780044","1.6","98.4","94","4","2","","79","","1994-03-08 00:00:00",""
"NG","8","3","38","58","780046","1.6","98.4","96","1","3","","73","","1994-03-08 00:00:00",""
"NG","8","4","58","90","780047","1.7","98.3","97","2","1","","78","","1994-03-08 00:00:00",""
"NG","8","5","90","120","780048","1.9","98.1","98","0","2","","77","","1994-03-08 00:00:00",""
"NG","9","1","0","15","780049","3.8","96.2","98","","2","","72","","1994-03-08 00:00:00",""
"NG","9","2","15","26","780050","5.6","94.4","100","","","","86","","1994-03-08 00:00:00",""
"NG","9","4","46","100","780052","14.8","85.2","100","","","","87","","1994-03-08 00:00:00",""
"NA","1","6","80","100","780081","1.4","98.6","","","","100","100","REST=Fe-concretions with a very few quarz.","1994-03-08 00:00:00",""
"ID","1","1","0","13","800138","44.4","55.6","57","2","24","17","72","REST=mainly volcanic glass","1994-03-08 00:00:00",""
"ID","1","2","13","28","800139","55.9","44.1","63","","19","18","76","REST=mainly volcanic glass","1994-03-08 00:00:00",""
"ID","1","3","28","66","800140","11.9","88.1","65","","17","18","76","REST=mainly volcanic glass","1994-03-08 00:00:00",""
"ID","1","4","66","85","800141","32.6","67.4","76","1","10","14","99","REST=mainly volcanic glass","1994-03-08 00:00:00",""
"ID","1","5","85","100","800142","58","42","86","","6","18","99","REST=mainly volcanic glass","1994-03-08 00:00:00",""
"ID","1","6","100","125","800143","53.8","46.2","90","","4","6","99","REST=mainly volcanic glass","1994-03-08 00:00:00",""
"KE","6","6","120","160","800212","0.5","99.5","93","6","1","","91","","1994-03-08 00:00:00",""
"KE","7","6","75","120","800219","3.2","96.8","88","12","","","96","","1994-03-08 00:00:00",""
"KE","11","5","85","180","800248","5.2","94.8","96","4","","","65","","1994-03-08 00:00:00",""
