"ISO","ID","HORI","MOTTA","MOTTA2","MOTTS","MOTTS2","MOTTC","MOTTC2","MOTTB","MOTTB2","MOTTHUE","MOTTVAL","MOTTCH","MOTTHU2","MOTTVA2","MOTTCH2","CUTC","CUTT","CUTK","CUTL","INCQ","INCQ2","INCT","INCT2","INCSI","INCSI2","INCH","INCH2","INCSH","INCSH2","INCC","INCC2","ROCKQ","ROCKQ2","ROCKS","ROCKS2","ROCKW","ROCKW2","ROCKC","ROCKC2","PANK","PANC","PANY","PANS","BIOA","BIOK","BIOK2","EDITDATE","VER"
"AU","13","4","","","","","","","","","","","","","","","P","","M","","F","","S","","","","","","","","","","","","","","","","","","","","","","","","","2003-03-26 00:00:00","OSP"
"AU","13","5","F","","","","","","","","7.5YR","4","4","","","","","","","","F","","S","","","","S","","","","K","","","","","","","","","","","","","","","","","2003-03-26 00:00:00","OSP"
"AU","14","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Q","","D","","","","gneiss","","","","","","","","","2003-03-26 00:00:00","OSP"
"AU","14","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C","","D","","","","gneiss","","","","","","","","","2003-03-26 00:00:00","OSP"
"AU","14","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F","","D","","","","gneiss","","","","","","","","","2003-03-26 00:00:00","OSP"
"AU","14","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Q","","D","","","","gneiss","","","","","","","","","2003-03-26 00:00:00","OSP"
"AU","14","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","D","","Z","","","","gneiss","","","","","","","","","",""
"AU","15","1","F","C","M","M","D","D","C","C","10YR","5","3","10YR","5","3","","","","","","","","","","","","","","","","","V","","F","","F","","quartz","","","","","","F","W","","2003-03-28 00:00:00","OSP"
"AU","15","2","M","","","","","","","","10YR","3","2","","","","","","","","","","","","","","","","","","","","V","","F","","F","","quartz","","","","","","Q","W","","2003-03-28 00:00:00","OSP"
"AU","15","3","M","","M","","D","","S","","10YR","3","3","","","","","","","","","","","","","","","","","","","","V","","F","","F","","quartz","","","","","","Q","W","","2003-03-28 00:00:00","OSP"
"AU","15","4","C","C","","","D","D","S","S","10YR","3","3","2.5YR","5","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Q","W","","2003-03-28 00:00:00","OSP"
"AU","15","5","C","","","","","","","","2.5YR","3","6","","","","","","","","F","","C","","M","","","","","","F","","","","","","","","","","","","","","","","","2003-03-28 00:00:00","OSP"
"AU","15","6","C","C","","","D","P","C","C","7.5YR","8","0","2.5YR","5","8","","","","","Q","Q","C","C","M","L","","","","","F","","Q","","D","","W","","ferruginized shale","","","","","","","","","2003-03-28 00:00:00","OSP"
"AU","15","7","M","","","","P","","C","","10R","3","6","","","","","","","","","","","","","","","","","","","","M","","D","","W","","ferruginized shale","","","","","","","","","2003-03-28 00:00:00","OSP"
"AU","16","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-03-28 00:00:00","OSP"
"AU","16","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-03-28 00:00:00","OSP"
"AU","16","3","","","","","","","","","","","","","","","B","","M","PE","F","V","","","","","S","H","","","K","G","","","","","","","","","Y","I","","V","","","","2003-03-28 00:00:00","OSP"
"AU","16","4","","","","","","","","","","","","","","","","","","","Q","V","","","","","H","S","","","G","K","","","","","","","","","Y","I","","V","","","","2003-03-28 00:00:00","OSP"
"AU","16","5","","","","","","","","","","","","","","","","","","","Q","","","","","","H","","","","G","","","","","","","","","","","","","","","","","2003-03-28 00:00:00","OSP"
"AU","17","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-03-28 00:00:00","OSP"
"AU","17","2","C","C","M","C","D","D","C","C","5YR","3","4","5YR","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-03-28 00:00:00","OSP"
"AU","17","3","","","","","","","","","","","","","","","","","","","V","","C","","S","","H","","","","M","","","","","","","","","","","","","","","","","2003-03-28 00:00:00","OSP"
"AU","17","4","C","C","M","M","P","D","C","C","2.5Y","6","4","10R","4","4","","","","","V","","C","","S","","H","","","","M","","","","","","","","","","","","","","","","","2003-03-28 00:00:00","OSP"
"AU","18","1","F","","F","","D","","C","","5YR","5","4","","","","","","","","","","","","","","","","","","","","V","V","Q","Q","","","quartz","sandstone","","","","","","","","2003-03-31 00:00:00","OSP"
"AU","18","2","C","C","F","M","D","D","C","C","5YR","4","2","5YR","4","2","","","","","","","","","","","","","","","","","V","V","Q","Q","","","quartz","sandstone","","","","","","","","2003-03-31 00:00:00","OSP"
