"ISO","ID","HORI","TOP","BOT","SAMPLENO","CAS","MGS","NAS","KS","SUMCAT","CO3","HCO3","CL","SO4","NO3","SUMANI","EC5","ECE","PHS","SAR","SALTREM","EDITDATE","VERIFIED","TYPE"
"US","24","6","99","121","850943","4.7","1.1","5.1","0.1","11","0","2.9","1.8","4.8","0","9.5","","1.05","7.8","2.99","Data NSSL, Lincoln","2004-05-19 00:00:00","OSP",""
"US","24","7","121","143","850944","4.5","1.2","5.2","0.1","11","0","2.8","1.9","5","0.4","10.1","","1.07","7.8","3.08","Data NSSL, Lincoln","2004-05-19 00:00:00","OSP",""
"US","24","8","143","163","850945","4.3","1.5","5","0.1","10.9","0","1.5","2.1","5.5","0","9.1","","1.05","7.8","2.94","Data NSSL, Lincoln","2004-05-19 00:00:00","OSP",""
"US","24","9","163","181","850946","3.8","1.6","5.5","0.1","11","0","2.1","2.5","5","0.3","9.9","","1.08","7.9","3.35","Data NSSL, Lincoln","2004-05-19 00:00:00","OSP",""
"US","24","10","181","200","850947","3.1","1.5","6.2","0.1","10.9","0","2.6","2.9","4.4","0","9.9","","1.08","7.8","4.09","Data NSSL, Lincoln","2004-05-19 00:00:00","OSP",""
"HU","11","1","0","4","970179","0.01","0","11.92","0.1","12.03","5.72","3.96","1.76","2.93","","14.37","2.18","","","119.2","","2003-09-29 00:00:00","OSP","1"
"HU","11","2","4","16","970180","0.02","0.04","6.21","0.05","6.32","3.78","4.61","1.01","1.09","","10.49","1.22","","","31","","2003-09-29 00:00:00","OSP","2"
"HU","11","3","16","29","970181","0.02","0.08","4.27","0.06","4.43","3.67","13.21","0.3","0.74","","17.92","0.78","","","17.4","","2003-09-29 00:00:00","OSP","3"
"HU","11","4","29","41","970182","0.02","0.08","3.68","0.13","3.91","2.93","8.23","0.3","0.42","","11.88","0.63","","","15","","2003-09-29 00:00:00","OSP","4"
"HU","11","5","41","55","970183","0.02","0.04","3.02","0.13","3.21","2.1","2.4","0.3","0.49","","5.29","0.55","","","15.1","","2003-09-29 00:00:00","OSP","5"
"HU","11","6","55","70","970184","0.01","0.04","2.2","0.05","2.3","1.36","0.82","0.5","0.55","","3.23","0.5","","","12.7","","2003-09-29 00:00:00","OSP","6"
"HU","11","7","70","90","970185","0.01","0.04","1.66","0.06","1.77","1.3","0.65","0.3","0.55","","2.8","0.46","","","9.6","","2003-09-29 00:00:00","OSP","7"
"HU","11","8","90","100","970186","0.01","0.04","1.9","0.07","2.02","1.2","0.85","0.3","0.37","","2.72","0.4","","","11","","2003-09-29 00:00:00","OSP","8"
"HU","11","9","100","125","970187","0.01","0","1.47","0.01","1.49","0.76","0.49","0.3","0.3","","1.85","0.3","","","14.7","","2003-09-29 00:00:00","OSP","9"
"HU","14","1","0","3","970206","0.01","0","1.03","0.02","1.06","0","0.22","0.27","0.84","","1.33","0.26","","","14.14","","2003-09-29 00:00:00","OSP","1"
"HU","14","2","3","15","970207","0.14","0.21","5.88","0.37","6.6","0","1.09","0.28","4.56","","5.93","0.8","","","15.23","","2003-09-29 00:00:00","OSP","2"
"HU","14","3","15","25","970208","0.01","0","9.78","0.02","9.81","0","0.78","0.3","9.09","","10.17","1.71","","","138.59","","2003-09-29 00:00:00","OSP","3"
"HU","14","4","25","38","970209","0.01","0","11.03","0.01","11.05","0","0.73","0.3","9.56","","10.59","1.85","","","155.56","","2003-09-29 00:00:00","OSP","4"
"HU","14","5","38","55","970210","0.01","0","12.16","0.02","12.19","0.73","1.9","0.3","9.09","","12.02","1.95","","","172.53","","2003-09-29 00:00:00","OSP","5"
"HU","14","6","55","66","970211","0.01","0","11.48","0.01","11.5","1.55","3.84","0.3","2.69","","8.38","1.76","","","162.63","","2003-09-29 00:00:00","OSP","6"
"HU","14","7","66","79","970212","0.01","0","9.91","0.02","9.94","2.06","10.92","0.3","1.99","","15.27","1.56","","","140.01","","2003-09-29 00:00:00","OSP","7"
"HU","14","8","79","100","970214","0.01","0","8.43","0.01","8.45","3.37","8.75","0.3","2.98","","15.4","1.15","","","118.79","","2003-09-29 00:00:00","OSP","8"
"HU","14","9","100","125","970214","0.01","0","6.72","0.02","6.75","3.03","3.62","0.3","1.86","","8.81","0.9","","","94.75","","2003-09-29 00:00:00","OSP","9"
"RO","2","1","0","20","760009","0.35","0.08","0.02","0.01","0.46","0","0.39","0.08","0.05","0.05","0.57","0.1","","","0.03","","1996-01-29 00:00:00","OSP","1"
"RO","2","10","135","150","760018","0.4","0.17","0.02","0.01","0.6","0","0.57","0.07","0.04","0.01","0.69","0.1","","","0.03","","1996-01-29 00:00:00","OSP","1"
"RO","2","2","20","30","760010","0.66","0.13","0.02","0.01","0.82","0","0.27","0.08","0.07","0.5","0.92","0.18","","","0.02","","1996-01-29 00:00:00","OSP","2"
"RO","2","3","30","38","760011","0.66","0.13","0.02","0.01","0.82","0","0.27","0.08","0.07","0.5","0.92","0.18","","","0.02","","1996-01-29 00:00:00","OSP","3"
"RO","2","4","38","58","760012","0.86","0.08","0.02","0.01","0.97","0","0.5","0.05","0.07","0.4","1.02","0.19","","","0.02","","1996-01-29 00:00:00","OSP","4"
"RO","2","5","58","73","760013","0.56","0.08","0.02","0.01","0.67","0","0.58","0.08","0.05","0.02","0.73","0.12","","","0.03","","1996-01-29 00:00:00","OSP","5"
"RO","2","6","73","92","760014","0.56","0.08","0.02","0.01","0.67","0","0.58","0.08","0.05","0.02","0.73","0.12","","","0.03","","1996-01-29 00:00:00","OSP","6"
"RO","2","7","92","110","760015","0.52","0.13","0.02","0.01","0.68","0","0.62","0.06","0.07","0.01","0.76","0.12","","","0.03","","1996-01-29 00:00:00","OSP","7"
"RO","2","8","110","125","760016","0.52","0.13","0.02","0.01","0.68","0","0.62","0.06","0.07","0.01","0.76","0.12","","","0.03","","1996-01-29 00:00:00","OSP","8"
"RO","2","9","125","135","760017","0.4","0.13","0.02","0.01","0.56","0","0.54","0.06","0.06","0.07","0.73","0.1","","","0.03","","1996-01-29 00:00:00","OSP","9"
"OM","1","1","0","23","820192","0.82","0.86","2.1","0.13","3.91","0","0.42","2.24","0.97","0.31","3.94","0.63","","","1.88","","","","1"
"OM","1","2","23","54","820193","0.38","0.47","1.11","0.05","2.01","0","0.44","0.96","0.62","0.09","2.11","0.12","","","1.42","","","","2"
"OM","1","3","54","131","820194","0.15","0.21","0.29","0.03","0.68","0","0.56","0.16","0.16","0.02","0.9","0.13","","","0.57","","","","3"
"OM","1","4","131","150","820195","0.12","0.17","0.18","0.03","0.5","0","0.44","0.08","0.12","0.01","0.65","0.1","","","0.4","","","","4"
"OM","4","1","0","13","820206","0.35","0.08","0.04","0.07","0.54","0","0.49","0.08","0.14","","","0.11","","","0.06","","","","1"
"OM","4","2","13","34","820207","0.3","0.08","0.02","0.08","0.48","0","0.46","0.12","0.1","0.01","0.69","0.1","","","0.03","","","","2"
"OM","4","3","34","110","820208","0.31","0.13","0.07","0.07","0.58","0","0.55","0.1","0.12","0.01","0.78","0.11","","","0.11","","","","3"
"OM","4","4","110","147","820209","0.22","0.21","0.11","0.07","0.61","0","0.47","0.08","0.27","","","0.12","","","0.19","","","","4"
"OM","4","5","147","180","820210","0.22","0.21","0.11","0.07","0.61","0","0.46","0.05","0.24","0.02","0.77","0.13","","","0.19","","","","5"
"OM","4","6","180","200","820211","15.51","0.26","0.05","0.04","15.86","0","0.23","0.24","16.92","0.01","17.4","1.61","","","0.01","","","","6"
"CN","9","2","21","30","870141","0.84","0.11","0","0.01","","","0.2","0.02","0.04","0.01","","","1.69","7.5","","","","","2"
"CN","9","3","30","70","870142","","","","","","","","","","","","","","","","","","","3"
"CN","9","4","70","81","870143","0.78","0.1","0.09","0","","","0.14","0.03","0.04","0","","","1.73","6.8","","","","","4"
"CN","9","5","81","114","870144","","","","","","","","","","","","","","","","","","","5"
"CN","9","6","114","138","870145","1.11","0.06","0.09","0","","","0.19","0.02","0.05","0.01","","","2.19","6.8","","","","","6"
"CN","9","7","138","200","870146","","","","","","","","","","","","","","","","","","","7"
"CN","9","8","200","250","870147","","","","","","","","","","","","","","","","","","","8"
"CN","9","9","250","300","870148","","","","","","","","","","","","","","","","","","","9"
"CN","11","1","0","28","870154","","","","","","","","","","","","","","","","","","","1"
"CN","11","2","28","54","870155","","","","","","","","","","","","","","","","","","","2"
"CN","11","3","54","100","870156","0.71","0.36","0.09","0","","","0.15","0.08","0.08","0","","","2","7.1","","","","","3"
"CN","11","4","100","110","870157","","","","","","","","","","","","","","","","","","","4"
"CN","11","5","110","135","870158","","","","","","","","","","","","","","","","","","","5"
"CN","11","6","135","160","870159","","","","","","","","","","","","","","","","","","","6"
"CN","12","1","0","6","870160","1.16","0.53","9.2","0.41","","","0.22","7.2","2.6","0.99","","","13.7","7.5","","","","","1"
"CN","12","2","6","36","870161","1.64","0.5","9.9","0.06","","","0.07","4.7","6.3","0.65","","","14.5","6.8","","","","","2"
"CN","12","3","36","77","870162","1.52","0.52","11","0.03","","","0.08","7","6","0.49","","","14.3","7.9","","","","","3"
"CN","12","4","77","125","870163","1.68","0.46","12.1","0.03","","","0.06","7.2","8.1","0.42","","","15","6.8","","","","","4"
"CN","12","5","125","160","870164","0.84","0.33","9.9","0.02","","","0.06","5.6","3.4","0.36","","","14.4","6.9","","","","","5"
"CN","13","1","0","12","870165","0.5","0.1","0.21","0.03","","","0.46","0.05","0.1","0","","","1.17","7.9","","","","","1"
"CN","13","2","12","28","870166","","","","","","","","","","","","","","","","","","","2"
