"REGION","NAME"
"001","Canada"
"002","USA"
"003","Central America"
"004","South America"
"005","Northern Africa"
"006","Western Africa"
"007","Eastern Africa"
"008","Southern Africa"
"009","OECD Europe"
"010","Eastern Europe"
"011","Former USSR"
"012","Middle East"
"013","South Asia"
"014","East Asia"
"015","South East Asia"
"016","Oceania"
"017","Japan"
"018","Greenland"
"019","Antarctica"
