"ISO","ID","HORI","TOP","BOT","SAMPLENO","KAOL","MILL","VERM","CHLOR","SMEC","HALL","MIX","QUAR","FELD","GIBB","GOET","HEM","MINX","MINY","MINZ","FE","AL","AMMFE","AMMAL","AMMSI","FEP","ALP","CP","PRET","PHNAF","ODOE","MI","CMINREM","EDITDATE","VERIFIED","CODETYPE","TYPE"
"BR","14","3","20","38","870016","8","","2","","","","4","","2","4","4","","","","","4.1","0.8","0.2","0.3","0","","","","35","","","","","1995-03-02 00:00:00","","BR0143","3"
"BR","14","8","270","370","870021","8","","","","","","4","","2","4","4","","","","","4.6","0.7","0.1","0.1","0.1","","","","","","","","","1995-03-02 00:00:00","","BR0148","8"
"BR","14","4","38","80","870017","8","","1","","","","4","","2","4","4","","","","","4.2","0.7","0.2","0.3","0.1","","","","36","","","","","1995-03-02 00:00:00","","BR0144","4"
"BR","14","6","147","170","870019","8","","","","","","4","","2","4","4","","","","","4.6","0.7","0.1","0.2","0","","","","","","","","","1995-03-02 00:00:00","","BR0146","6"
"BR","14","5","80","147","870018","8","","","","","","4","","2","4","4","","","","","4.3","0.7","0.2","0.3","0.1","","","","37","","","","","1995-03-02 00:00:00","","BR0145","5"
"BR","14","9","370","470","870022","8","","","","","","4","","2","4","4","","","","","5","0.5","0.1","0.1","0.1","","","","35","","","","","1995-03-02 00:00:00","","BR0149","9"
"BR","15","2","9","21","870024","5","","","","","","","","4","6","4","","","","","2.9","1.1","0.1","0.4","0","","","","52","","","","","1995-03-02 00:00:00","","BR0152","2"
"BR","15","1","0","9","870023","5","","","","","","","","4","6","4","","","","","2.9","1","0.1","0.4","0","","","","47","","","","","1995-03-02 00:00:00","","BR0151","1"
"BR","15","8","270","370","870030","6","","","","","","","","4","6","4","","","","","3.6","0.5","0.1","0.2","0.1","","","","","","","","","1995-03-02 00:00:00","","BR0158","8"
"BR","15","4","42","70","870026","5","","","","","","","","4","6","4","","","","","3.1","1","0.1","0.4","0","","","","59","","","","","1995-03-02 00:00:00","","BR0154","4"
"BR","15","5","70","105","870027","5","","","","","","","","4","6","4","","","","","3.1","1","0.1","0.4","0","","","","67","","","","","1995-03-02 00:00:00","","BR0155","5"
"BR","15","6","105","150","870028","5","","","","","","","","4","6","4","","","","","3.1","0.8","0.1","0.3","0.1","","","","","","","","","1995-03-02 00:00:00","","BR0156","6"
"BR","15","3","21","42","870025","6","","","","","","","","4","6","4","","","","","3.2","1.1","0.1","0.4","0","","","","56","","","","","1995-03-02 00:00:00","","BR0153","3"
"BR","15","7","170","270","870029","5","","","","","","","","4","6","4","","","","","3.2","0.6","0.1","0.3","0","","","","","","","","","1995-03-02 00:00:00","","BR0157","7"
"BR","15","9","370","470","870031","7","","","","","","","","4","6","4","","","","","4.6","0.3","0","0.1","0","","","","47","","","","","1995-03-02 00:00:00","","BR0159","9"
"BR","16","3","45","58","870034","8","4","","","4","","","","","","3","","","","","1.7","0.2","0.2","0.1","0.1","","","","","","","","","1995-03-02 00:00:00","","BR0163","3"
"BR","16","2","14","45","870033","8","5","","","4","","","","","","3","","","","","1.5","0.2","0.2","0.1","0","","","","","","","","","1995-03-02 00:00:00","","BR0162","2"
"BR","16","5","82","105","870036","8","4","","","3","","","","","","3","","","","","2","0.2","0.2","0.1","0","","","","","","","","","1995-03-02 00:00:00","","BR0165","5"
"BR","16","4","58","82","870035","8","4","","","4","","","","","","3","","","","","3.1","0.3","0.2","0.2","0.1","","","","","","","","","1995-03-02 00:00:00","","BR0164","4"
"BR","16","1","0","14","870032","8","5","","","4","","","","","","3","","","","","1.2","0.1","0.2","0.1","0","","","","","","","","","1995-03-02 00:00:00","","BR0161","1"
"BR","16","7","125","150","870038","7","4","","","5","","","","","","3","","","","","1.1","0.1","0","0","0","","","","","","","","","1995-03-02 00:00:00","","BR0167","7"
"BR","16","6","105","125","870037","7","4","","","4","","","","","","3","","","","","1.4","0.1","0.1","0","0","","","","","","","","","1995-03-02 00:00:00","","BR0166","6"
"BR","17","5","67","90","870043","5","4","","","6","","","","","","3","","","","","0.4","0","0","0","0","","","","","","","","","1995-03-02 00:00:00","","BR0175","5"
"BR","17","4","30","67","870042","7","7","","","4","","","","","","3","","","","","1.1","0.1","0.1","0.1","0.1","","","","","","","","","1995-03-02 00:00:00","","BR0174","4"
"BR","17","3","20","30","870041","5","8","","","2","","","","","","2","","","","","0.5","0.1","0.1","0","0","","","","","","","","","1995-03-02 00:00:00","","BR0173","3"
"BR","17","2","6","20","870040","5","8","","","","","","","","","2","","","","","0.4","0","0.1","0","0","","","","","","","","","1995-03-02 00:00:00","","BR0172","2"
"BR","17","1","0","6","870039","5","6","","","","","","","","","2","","","","","0.4","0","0.1","0","0.1","","","","","","","","","1995-03-02 00:00:00","","BR0171","1"
"BR","18","7","300","375","870050","8","","","","","","","","2","","3","","","","","0.1","0","0","0.1","0","","","","","","","","","1995-03-02 00:00:00","","BR0187","7"
"BR","18","1","0","17","870044","8","","","","","","","","2","","3","","","","","0","0","0","0","0","","","","","","","","","1995-03-02 00:00:00","","BR0181","1"
"BR","18","6","200","275","870049","8","","","","","","","","2","","3","","","","","0.1","0","0","0","0","","","","","","","","","1995-03-02 00:00:00","","BR0186","6"
"BR","18","5","147","177","870048","8","","","","","","","","2","","3","","","","","0.1","0","0","0","0","","","","","","","","","1995-03-02 00:00:00","","BR0185","5"
"BR","18","3","57","115","870046","8","","","","","","","","2","","3","","","","","0.1","0","0","0","0","","","","","","","","","1995-03-02 00:00:00","","BR0183","3"
"BR","18","4","115","147","870047","8","","","","","","","","2","","3","","","","","0.1","0","0","0","0","","","","","","","","","1995-03-02 00:00:00","","BR0184","4"
"BR","18","2","17","57","870045","8","","","","","","","","2","","3","","","","","0","0","0","0","0","","","","","","","","","1995-03-02 00:00:00","","BR0182","2"
"BR","19","2","20","70","870052","4","","","","","","","3","2","","3","","","","","0","0","0","0","0","","","","","","","","","1995-03-02 00:00:00","","BR0192","2"
"BR","19","4","110","116","870054","4","","","","","","","3","2","","3","","","","","0","0.1","0","0.1","0","","","","","","","","","1995-03-02 00:00:00","","BR0194","4"
"BR","19","1","0","20","870051","4","","","","","","","3","2","","3","","","","","0","0","0","0","0","","","","","","","","","1995-03-02 00:00:00","","BR0191","1"
"BR","19","3","70","110","870053","4","2","","","","","","3","2","","2","","","","","0","0","0","0","0","","","","","","","","","1995-03-02 00:00:00","","BR0193","3"
"BR","19","6","126","150","870056","4","","","","","","","3","2","3","3","","","","","0.2","0.5","","","","","","","","","","","","1995-03-02 00:00:00","","BR0196","6"
"BR","19","5","116","126","870055","5","","","","","","","3","2","","3","","","","","0","0.5","","","","","","","","","","","","1995-03-02 00:00:00","","BR0195","5"
"BR","20","3","19","50","870059","6","","","","","","","2","","3","4","","","","","0.1","0.1","","","","","","","","","","","","1995-03-02 00:00:00","","BR0203","3"
"BR","20","4","50","75","870060","6","","","","","","","2","","3","4","","","","","0.1","0","","","","","","","","","","","","1995-03-02 00:00:00","","BR0204","4"
"BR","20","5","75","175","870061","6","","","","","","","2","","4","4","","","","","0.2","0.1","","","","","","","","","","","","1995-03-02 00:00:00","","BR0205","5"
"BR","20","6","175","225","870062","6","","","","","","","2","","4","4","","","","","0.3","0.1","","","","","","","","","","","","1995-03-02 00:00:00","","BR0206","6"
"BR","20","1","0","6","870057","6","","","","","","","2","","3","4","","","","","0.1","0","","","","","","","","","","","","1995-03-02 00:00:00","","BR0201","1"
"BR","20","7","225","275","870063","5","","","","","","","2","","4","4","","","","","0.5","0.4","","","","","","","","","","","","1995-03-02 00:00:00","","BR0207","7"
"BR","20","2","6","19","870058","6","","","","","","","2","","3","4","","","","","0.1","0","","","","","","","","","","","","1995-03-02 00:00:00","","BR0202","2"
"BR","21","1","0","9","870064","6","8","","","4","","","","","","4","","","","","1.3","0.1","0.1","0.1","0","","","","","","","","","1995-03-02 00:00:00","","BR0211","1"
"BR","21","2","9","27","870065","6","8","","","3","","","","","","4","","","","","1.6","0.2","0.1","0.1","0","","","","","","","","","1995-03-02 00:00:00","","BR0212","2"
"BR","21","3","27","60","870066","7","8","","","3","","","","","","4","","","","","2.6","0.2","0.1","0.1","0","","","","","","","","","1995-03-02 00:00:00","","BR0213","3"
"BR","21","4","60","70","870067","6","6","","","4","","","","","","4","","","","","2.9","0.3","0.1","0.1","0","","","","","","","","","1995-03-02 00:00:00","","BR0214","4"
"BR","21","5","70","110","870068","6","4","","","8","","","","","","3","","","","","1.2","0.1","0","0","0","","","","","","","","","1995-03-02 00:00:00","","BR0215","5"
"BR","22","4","51","70","870072","7","3","","","6","","","","","","","","","","","0.2","0","0","0.1","0","","","","","","","","","1995-03-02 00:00:00","","BR0224","4"
