"ISO","ID","HORI","TOP","BOT","SAMPLENO","SIO2","AL2O3","FE2O3","CAO","MGO","K2O","NA2O","TIO2","MNO2","P2O5","IGN","TOTAL","RATIOSIAL","RATIOSIFE","RATIOSIR","RATIOALFE","SOELREM","EDITDATE","VERIFIED","CODETYPE"
"NG","1","5","70","90","780005","57","21.9","8.8","0.1","0.1","0.1","","0.87","0.1","0.01","11.2","100.2","4.4","17.2","3.5","3.9","","1995-03-02 00:00:00","","NG0015"
"NG","1","6","90","110","780006","56.1","22.3","9.3","0.09","0.09","0.1","","0.83","0.11","0.01","11.7","100.6","4.3","16.1","3.4","3.8","","1995-03-02 00:00:00","","NG0016"
"NG","1","7","110","120","780007","54.7","22.1","10.6","0.1","0.09","0.09","","0.87","0.1","0.01","11.8","100.5","4.2","13.7","3.2","3.3","","1995-03-02 00:00:00","","NG0017"
"NG","4","1","0","10","780021","82","7.5","2.5","0.1","0.06","2.78","","0.39","0.07","0.05","2.9","98.4","18.6","87.3","15.3","4.7","","1996-02-18 00:00:00","OSP","NG0041"
"NG","4","2","10","28","780022","83.3","7.6","2.8","0.1","0.04","2.55","","0.4","0.07","0.05","2.9","99.8","18.6","79.2","15.1","4.3","","1996-02-18 00:00:00","OSP","NG0042"
"NG","4","3","28","45","780023","80.3","9.7","3.7","0.09","0.01","2.82","","0.47","0.07","0.04","3.6","100.8","14","57.8","11.3","4.1","","1996-02-18 00:00:00","OSP","NG0043"
"NG","4","4","45","60","780024","75.1","12.6","4.8","0.09","0.08","2.79","","0.44","0.06","0.03","4.5","100.5","10.1","41.7","8.1","4.1","","1996-02-18 00:00:00","OSP","NG0044"
"NG","4","5","60","75","780025","72.2","13.8","4.4","0.1","0.07","3.04","","0.4","0.04","0.03","4.8","98.9","8.9","43.7","7.4","4.9","","1996-02-18 00:00:00","OSP","NG0045"
"NG","4","6","75","95","780026","70.3","15.1","3.2","0.07","0.03","5.28","","0.25","0.01","0.02","3.9","98.2","7.9","58.5","7","7.4","","1996-02-18 00:00:00","OSP","NG0046"
"NG","4","7","95","120","780027","73.4","14.8","3.1","0.09","0.02","5.68","","0.2","0.01","0.01","3.3","100.6","8.4","63","7.4","7.5","","1996-02-18 00:00:00","OSP","NG0047"
"NG","8","1","0","20","780044","94","2.5","1","0.04","0.01","0.48","","1.14","0.04","0.02","2.1","101.3","63.8","250.2","50.8","3.9","","1995-03-02 00:00:00","","NG0081"
"NG","8","2","20","38","780045","94.5","2.3","1","0.01","0.01","0.53","","1.19","0.03","0.01","1.2","100.8","69.7","251.6","54.6","3.6","","1995-03-02 00:00:00","","NG0082"
"NG","8","3","38","58","780046","85.4","8.7","2.1","0.01","0.01","0.48","","1.26","0.02","0.03","3.6","101.6","16.7","108.3","14.4","6.5","","1995-03-02 00:00:00","","NG0083"
"NG","8","4","58","90","780047","83","10","2.8","0.01","0.02","0.47","","1.28","0.02","0.03","3.9","101.5","14.1","78.9","12","5.6","","1995-03-02 00:00:00","","NG0084"
"NG","8","5","90","120","780048","81.5","10.5","4","0.01","0.01","0.47","","1.34","0.02","0.03","4.1","102","13.2","54.2","10.6","4.1","","1995-03-02 00:00:00","","NG0085"
"NG","9","1","0","15","780049","82.4","6.2","6.6","0.2","0.08","0.44","","0.84","0.07","0.05","4.7","101.6","22.6","33.2","13.4","1.5","","1995-03-02 00:00:00","","NG0091"
"NG","9","2","15","26","780050","82.5","7","7.5","0.06","0.01","0.41","","0.83","0.06","0.03","3.5","101.9","20","29.3","11.9","1.5","","1995-03-02 00:00:00","","NG0092"
"NG","9","3","26","46","780051","50.7","20.1","18.9","0.04","0.16","0.26","","0.75","0.04","0.05","9.2","100.2","4.3","7.1","2.7","1.7","","1995-03-02 00:00:00","","NG0093"
"NG","9","4","46","100","780052","51.4","21.1","17.5","0.04","0.01","0.33","","0.82","0.04","0.04","9.2","100.5","4.1","7.8","2.7","1.9","","1995-03-02 00:00:00","","NG0094"
"NG","9","5","100","125","780053","49.6","20.6","19.1","0.04","0.02","0.33","","0.78","0.04","0.05","9.5","100.1","4.1","6.9","2.6","1.7","","1995-03-02 00:00:00","","NG0095"
"NG","9","6","125","145","780054","51","21","17.2","0.04","0.12","0.33","","0.8","0.04","0.04","9.3","99.9","4.1","7.9","2.7","1.9","","1995-03-02 00:00:00","","NG0096"
"NG","11","1","0","5","780061","75.6","9.6","3.1","2.65","0.55","1.21","","0.54","0.06","0.03","3.3","96.6","13.4","64.9","11.1","4.9","","1995-03-02 00:00:00","","NG0111"
"NG","11","2","5","25","780062","75.7","10.5","3.9","2.43","0.52","1.26","","0.51","0.07","0.02","3.4","98.3","12.2","51.7","9.9","4.2","","1995-03-02 00:00:00","","NG0112"
"NG","11","3","25","45","780063","74.4","11.5","4.7","2.65","0.59","1.16","","0.63","0.19","0.02","3.6","99.4","11","42.1","8.7","3.8","","1995-03-02 00:00:00","","NG0113"
"NG","11","4","45","75","780064","67.7","13.6","5.2","3.06","0.96","1.3","","0.87","0.17","0.01","4.2","97.1","8.4","34.7","6.8","4.1","","1995-03-02 00:00:00","","NG0114"
"NG","11","5","75","110","780065","68.9","14.4","4.9","2.72","0.9","1.17","","0.84","0.06","0.01","4.7","98.6","8.1","37.4","6.7","4.6","","1995-03-02 00:00:00","","NG0115"
"NG","11","6","200","250","78065A","59","16.7","7.1","3.59","2.74","1.41","","0.64","0.07","0.16","6.3","97.7","6","22.1","4.7","3.7","","1995-03-02 00:00:00","","NG0116"
"ID","1","1","0","13","800138","39.3","30.9","13.6","0.17","0.16","0.07","","1.59","0.49","0.15","15.4","101.8","2.2","7.7","1.7","3.6","","1995-05-19 00:00:00","","ID0011"
"ID","2","1","0","5","800144","38.6","29.5","12.2","0.52","0.42","0.13","","1.42","0.32","0.16","16.9","100.2","2.2","8.4","1.8","3.8","","1995-05-19 00:00:00","","ID0021"
