"ISO","ID","HORI","BTOP","BBOT","SAMPLENO","PHH2O","PHKCL","PHCACL2","CACO3","CASO4","ORGC","ORGN","C/N","CA","MG","NA","K","SUM","EXACID","EXAL","CECSOIL","CECCLAY","CECORG","ECEC","BS","ALS","ESP","EC","CHEMREM","EDITDATE","VERIFIED"
"BR","7","2","15","30","850195","6.4","5.3","","","","1.62","0.18","","8","1.5","0","0.5","10","0","0.1","12.2","21","5.7","10","82","1","","0.13","specific surface = 81 m2/g fine earth","1995-03-02 00:00:00",""
"BR","7","3","30","75","850196","6.8","5.4","","1","","0.92","0.1","","6.9","1.7","0","0.7","9.3","0","0","11.9","15","3.2","9.3","78","0","","0.06","specific surface = 109 m2/g fine earth","1995-03-02 00:00:00",""
"BR","7","4","75","125","850197","6.9","5.6","","1","","0.6","0.05","","5.8","2.1","0.1","0.9","8.9","0","0","10.7","13","2.1","8.9","83","0","","0.05","specific surface = 113 m2/g fine earth","1995-03-02 00:00:00",""
"BR","7","5","125","175","850198","6.8","5.5","","1","","0.43","","","4.6","2.1","0","0.6","7.3","0","0","9","11","1.5","7.3","81","0","","0.05","specific surface = 114 m2/g fine earth","1995-03-02 00:00:00",""
"BR","7","6","175","275","850199","6.1","4.8","","","","0.19","","","3.1","1.2","0","0.1","4.4","0","0","7.7","10","0.7","4.4","57","0","","0.01","specific surface = 110 m2/g fine earth","1995-03-02 00:00:00",""
"BR","8","1","0","22","850200","4.2","3.8","","","","2.58","0.23","","0.8","0.5","0","0.2","1.5","3.6","3.8","12.2","15","9","5.1","12","31","","0.18","specific surface = 91 m2/g fine earth","1995-03-02 00:00:00",""
"BR","8","2","22","44","850201","4.4","3.8","","","","1.76","0.17","","0.8","0.2","0.2","0.1","1.3","3.6","3.7","10.2","12","6.2","4.9","13","36","","0.06","specific surface = 89 m2/g fine earth","1995-03-02 00:00:00",""
"BR","8","3","44","65","850202","4.7","3.9","","","","1.34","0.1","","1","0.2","0.3","0","1.5","2.7","2.7","9","11","4.7","4.2","17","30","","0.04","specific surface = 88 m2/g fine earth","1995-03-02 00:00:00",""
"BR","8","4","65","120","850203","5.1","4.2","","","","0.75","0.04","","0.6","0.1","0.1","0","0.8","1.4","1.3","7.3","9","2.6","2.2","11","18","","0.01","specific surface = 93 m2/g fine earth","1995-03-02 00:00:00",""
"BR","8","6","310","350","850205","5.4","4.4","","","","0.14","","","0.2","0.1","0.1","0","0.4","0.4","0.3","6.1","7","0.5","0.8","7","5","","0.01","specific surface = 92 m2/g fine earth","1995-03-02 00:00:00",""
