"ISO","ID","HORI","TOP","BOT","SAMPLENO","SIO2","AL2O3","FE2O3","CAO","MGO","K2O","NA2O","TIO2","MNO2","P2O5","IGN","TOTAL","RATIOSIAL","RATIOSIFE","RATIOSIR","RATIOALFE","SOELREM","EDITDATE","VERIFIED"
"CN","4","8","130","150","840281","46.5","28","10.7","0.04","1.15","2.72","","1.36","0.06","0.1","9.4","100","2.8","11.6","2.3","4.1","","1994-05-03 00:00:00","OSP"
"KE","17","1","0","10","800022","51.8","18.2","10.2","0.94","0.49","0.44","","0.77","0.19","0.2","12.8","99.6","4.8","13.5","3.6","2.8","","1996-01-24 00:00:00","OSP"
"FI","1","3","15","25","680136","51.1","20","10.9","1.07","4.06","3.98","","1.05","0.08","0.17","5.1","97.6","4.3","12.4","3.2","2.9","","2003-06-18 00:00:00","OSP"
"FI","1","34","25","42","680137","51","19.6","11.6","1.22","4.09","4","","1.03","0.09","0.22","5","97.9","4.4","11.6","3.2","2.6","","2003-06-18 00:00:00","OSP"
"FI","1","45","42","59","680138","50.9","19.4","11.5","1.35","4.38","3.9","","1.03","0.09","0.25","4.6","97.5","4.4","11.8","3.2","2.6","","2003-06-18 00:00:00","OSP"
"FI","1","5","59","90","680139","51.3","19.8","11.4","1.51","4.59","4","","1.06","0.1","0.24","4.5","98.5","4.4","11.9","3.2","2.7","","2003-06-18 00:00:00","OSP"
"FR","4","1","0","10","660060","48","20.6","8","0.1","8.6","5","","1","0.1","0.2","7.3","","","","","","","2003-06-19 00:00:00","OSP"
"FR","4","2","10","28","660061","49.6","20.5","7.9","0.1","8.8","4.9","","0.9","0.1","0.2","7.5","","","","","","","2003-06-19 00:00:00","OSP"
"FR","11","6","85","115","660048","49.4","23.9","10","0","1.9","2.6","","1","0.1","0.2","8.6","","3.5","13.1","2.8","3.7","","2003-06-20 00:00:00","OSP"
"FR","11","7","115","133","660049","50.7","24","9.7","0","1.9","2.7","","1.1","0.1","0.2","8.2","","3.6","13.9","2.8","3.9","","2003-06-20 00:00:00","OSP"
"GR","1","1","0","25","710046","52.2","22.1","8.2","0.45","2.32","1.88","","0.71","0.09","0.11","7.8","100.5","4.2","4","16.9","3.2","","2003-09-23 00:00:00","OSP"
"GR","1","2","25","82","710047","52.2","22.1","8.2","0.44","2.35","1.82","","0.71","0.08","0.09","7.6","100.3","4.2","4","17","3.2","","2003-09-23 00:00:00","OSP"
"GR","1","3","82","113","710048","54.1","20.9","7.7","0.34","2.34","1.94","","0.76","0.08","0.1","7.1","100.5","4.3","4.4","18.7","3.6","","2003-09-23 00:00:00","OSP"
"GR","1","4","113","147","710049","","","","","","","","","","","","","","","","","","",""
"GR","1","5","147","160","710050","","","","","","","","","","","","","","","","","","",""
"HU","2","1","0","10","970134","43.4","22.3","9","2.02","2.4","2.89","","0.61","0.22","1","15","98.8","3.3","12.8","2.6","3.9","","2003-09-25 00:00:00","OSP"
"HU","2","2","10","30","970135","46.5","24.5","9.9","1.2","2.53","3","","0.63","0.18","1","11.7","101.1","3.2","12.5","2.6","3.9","","2003-09-25 00:00:00","OSP"
"HU","6","1","0","20","970152","49.2","19.5","12.3","0.2","2.41","3.56","","0.65","0.28","0.75","8.6","97.5","4.3","10.6","3.1","2.5","","2003-09-26 00:00:00","OSP"
"HU","6","2","40","65","970153","48.7","19.5","13.1","0.19","2.67","2.76","","0.52","0.25","0.47","9.9","98.1","4.2","9.9","3","2.3","","2003-09-26 00:00:00","OSP"
"HU","6","3","65","100","970154","49","20.5","13.5","0.23","2.78","2.62","","0.43","0.21","0.46","9.7","99.4","4.1","9.7","2.9","2.4","","2003-09-26 00:00:00","OSP"
"DE","11","1","0","1","670157","","","","","","","","","","","","","","","","","Organic layer, no clay","1997-02-03 00:00:00","OSP"
"DE","11","2","1","5","670156","","","","","","","","","","","","","","","","","","1997-02-03 00:00:00","OSP"
"DE","11","3","5","14","670155","46.7","26","7.1","0","0.77","3.86","0.75","0.9","0.03","0.22","10.8","97.1","3","17.5","2.6","5.8","","1997-02-04 00:00:00","OSP"
"DE","11","4","14","20","670161","49.3","24.2","10.4","0.26","2.75","6.05","0","1.14","0.14","0.3","6.5","101","3.5","12.7","2.7","3.7","","1997-02-04 00:00:00","OSP"
"TH","4","2","70","80","670117","50","29.3","7.2","0.1","1.2","2.9","","0.9","0.1","0.2","8.9","100.8","2.9","18.4","2.5","6.3","","1996-07-19 00:00:00","OSP"
"TH","4","3","115","125","670118","49.6","28.8","8.7","0.1","1.2","2.6","","0.9","0.1","0.2","9.1","101.2","2.9","15.2","2.4","5.2","","1996-07-19 00:00:00","OSP"
"TR","8","1","0","3","730030","51.4","18.7","8.5","1.7","4.3","3.3","","0.8","0.1","0.3","10.2","99.3","4.7","16","3.6","3.4","","1996-07-23 00:00:00","OSP"
"TR","8","2","3","33","730031","49.1","17.3","7.9","4.3","4.6","3","","0.7","0.1","0.3","12.4","99.7","4.8","16.7","3.7","3.5","","1996-07-23 00:00:00","OSP"
"TR","8","3","33","55","730032","43.6","15.2","7.2","9.9","4.7","2.2","","0.7","0.1","0.2","16.3","100.1","4.9","16.2","3.8","3.3","","1996-07-23 00:00:00","OSP"
"TR","8","4","55","83","730033","42.2","15.4","7.2","11.2","4.4","2.1","","0.6","0.1","0.2","16.4","99.8","4.7","15.5","3.6","3.3","","1996-07-23 00:00:00","OSP"
"TR","8","5","83","110","730034","42.7","15.5","7.2","10.9","4.6","2","","0.6","0","0.1","16.4","100","4.7","15.7","3.6","3.4","","1996-07-23 00:00:00","OSP"
"IE","9","1","0","7","670084","","","","","","","","","","","","","","","","","","1996-08-16 00:00:00","OSP"
"IE","9","2","7","40","670085","51.6","25.3","4.3","0.06","1.65","6.37","0.17","2.12","0","0.27","8.3","100.2","3.5","31.9","3.1","9.2","","1996-08-16 00:00:00","OSP"
"IE","9","3","40","49","670086","47.8","25.4","4.9","0.01","2.09","5.46","0.28","1.82","0","0.29","10.4","98.4","3.2","25.8","2.8","8.1","","1996-08-16 00:00:00","OSP"
"IE","9","4","49","62","670087","35.9","18.7","26.3","0.04","1.69","3.82","0.28","1.2","0.17","0.82","10.3","99.2","3.3","3.6","1.7","1.1","","1996-08-16 00:00:00","OSP"
"IE","9","5","62","87","670088","42.8","21.5","16.5","0.05","2.32","4.71","0.36","0.8","0.32","0.74","9.5","99.5","3.4","6.9","2.3","2","","1996-08-16 00:00:00","OSP"
"UY","1","1","0","23","820239","63.3","19.1","5.6","0.11","0.72","1.46","","1.33","0.11","0.2","7.8","99.7","5.6","30.1","4.7","5.3","","1996-10-16 00:00:00","OSP"
"UY","1","2","23","32","820240","63.5","19.9","5.1","0.11","0.69","1.64","","1.53","0.06","0.12","7.1","99.7","5.4","33","4.7","6.1","","1996-10-16 00:00:00","OSP"
"UY","1","3","32","48","820241","54.3","24","8.2","0.54","0.99","1.22","","1.06","0.05","0.04","9.7","100.1","3.8","17.7","3.2","4.6","","1996-10-16 00:00:00","OSP"
"UY","1","4","48","78","820242","55.3","24.2","7.7","0.4","1.16","1.35","","1.03","0.11","0.03","8.8","100.1","3.9","19.2","3.2","4.9","","1996-10-16 00:00:00","OSP"
"UY","1","5","78","105","820243","58","21.4","7.6","0.44","1.38","1.67","","1.05","0.11","0.03","7.8","99.4","4.6","20.5","3.8","4.5","","1996-10-16 00:00:00","OSP"
"UY","1","6","105","153","820244","57.6","22.1","7.7","0.38","1.42","1.61","","1.06","0.09","0.03","8.1","100","4.4","20","3.6","4.5","","1996-10-16 00:00:00","OSP"
"MY","3","4","63","103","850016","17.8","30.2","23.4","0.04","0.03","0","0.02","3.47","0.08","1.65","17.9","94.6","1","2","0.7","2","","1997-01-13 00:00:00","OSP"
"MY","3","5","103","150","850017","18.2","30.2","23.2","0.04","0.02","0","0.03","3.47","0.08","1.65","17.7","94.6","1","2.1","0.7","2","","1997-01-13 00:00:00","OSP"
"NO","2","1","0","28","680124","","","","","","","","","","","","","","","","","Organic sample","1997-01-28 00:00:00","OSP"
"NO","2","2","28","31","","","","","","","","","","","","","","","","","","Not sampled","1997-01-28 00:00:00","OSP"
